user_id,date_served,marketing_channel,converted,language_displayed,language_preferred,age_group,date_subscribed,date_canceled,subscribing_channel,is_retained
a100000029,01/01/18,House Ads,TRUE,English,English,0-18 years,01/01/18,,House Ads,TRUE
a100000030,01/01/18,House Ads,TRUE,English,English,19-24 years,01/01/18,,House Ads,TRUE
a100000031,01/01/18,House Ads,TRUE,English,English,24-30 years,01/01/18,,House Ads,TRUE
a100000032,01/01/18,House Ads,TRUE,English,English,30-36 years,01/01/18,,House Ads,TRUE
a100000033,01/01/18,House Ads,TRUE,English,English,36-45 years,01/01/18,,House Ads,TRUE
a100000034,01/01/18,House Ads,TRUE,German,German,45-55 years,01/01/18,,House Ads,TRUE
a100000035,01/01/18,House Ads,TRUE,English,English,55+ years,01/01/18,,House Ads,TRUE
a100000036,01/01/18,House Ads,TRUE,English,English,0-18 years,01/01/18,,House Ads,TRUE
a100000037,01/01/18,House Ads,TRUE,English,English,19-24 years,01/01/18,,House Ads,TRUE
a100000038,01/01/18,House Ads,TRUE,English,English,24-30 years,01/01/18,,House Ads,TRUE
a100000039,01/01/18,House Ads,TRUE,English,English,0-18 years,01/01/18,,House Ads,TRUE
a100000040,01/01/18,House Ads,TRUE,English,English,19-24 years,01/01/18,01/18/18,House Ads,FALSE
a100000041,01/01/18,House Ads,TRUE,Arabic,Arabic,24-30 years,01/01/18,02/22/18,House Ads,FALSE
a100000042,01/01/18,House Ads,TRUE,English,English,0-18 years,01/01/18,03/09/18,House Ads,FALSE
a100000043,01/01/18,House Ads,TRUE,English,English,19-24 years,01/01/18,02/18/18,House Ads,FALSE
a100000044,01/01/18,House Ads,TRUE,Arabic,Arabic,24-30 years,01/01/18,03/03/18,House Ads,FALSE
a100000045,01/02/18,House Ads,TRUE,English,English,0-18 years,01/02/18,02/04/18,House Ads,FALSE
a100000046,01/02/18,House Ads,TRUE,English,English,19-24 years,01/02/18,01/09/18,House Ads,FALSE
a100000047,01/02/18,House Ads,TRUE,English,English,24-30 years,01/02/18,02/04/18,House Ads,FALSE
a100000048,01/02/18,House Ads,TRUE,German,German,0-18 years,01/02/18,01/21/18,House Ads,FALSE
a100000049,01/02/18,House Ads,TRUE,German,German,19-24 years,01/02/18,,House Ads,TRUE
a100000050,01/02/18,House Ads,TRUE,English,English,24-30 years,01/02/18,,House Ads,TRUE
a100000050,01/01/18,House Ads,FALSE,English,English,24-30 years,01/02/18,,House Ads,TRUE
a100000051,01/02/18,House Ads,TRUE,English,English,30-36 years,01/02/18,,House Ads,TRUE
a100000051,01/01/18,Push,FALSE,English,English,30-36 years,01/02/18,,House Ads,TRUE
a100000052,01/02/18,House Ads,TRUE,English,English,36-45 years,01/02/18,,House Ads,TRUE
a100000052,01/01/18,House Ads,FALSE,English,English,36-45 years,01/02/18,,House Ads,TRUE
a100000053,01/02/18,House Ads,TRUE,English,English,45-55 years,01/02/18,,House Ads,TRUE
a100000053,01/01/18,House Ads,FALSE,English,English,45-55 years,01/02/18,,House Ads,TRUE
a100000054,01/02/18,House Ads,TRUE,English,English,55+ years,01/02/18,,House Ads,TRUE
a100000054,01/01/18,House Ads,FALSE,English,English,55+ years,01/02/18,,House Ads,TRUE
a100000055,01/02/18,House Ads,TRUE,English,English,0-18 years,01/02/18,,House Ads,TRUE
a100000055,01/01/18,Push,FALSE,English,English,0-18 years,01/02/18,,House Ads,TRUE
a100000056,01/02/18,House Ads,TRUE,English,English,19-24 years,01/02/18,,House Ads,TRUE
a100000056,01/01/18,Facebook,FALSE,English,English,19-24 years,01/02/18,,House Ads,TRUE
a100000057,01/02/18,House Ads,TRUE,English,English,24-30 years,01/02/18,,House Ads,TRUE
a100000057,01/01/18,Instagram,FALSE,English,English,24-30 years,01/02/18,,House Ads,TRUE
a100000058,01/02/18,House Ads,TRUE,English,English,0-18 years,01/02/18,,House Ads,TRUE
a100000058,01/01/18,Instagram,FALSE,English,English,0-18 years,01/02/18,,House Ads,TRUE
a100000059,01/02/18,House Ads,TRUE,English,English,19-24 years,01/02/18,02/19/18,House Ads,FALSE
a100000059,01/01/18,Facebook,FALSE,English,English,19-24 years,01/02/18,02/19/18,House Ads,FALSE
a100000060,01/02/18,House Ads,TRUE,German,German,24-30 years,01/02/18,03/08/18,House Ads,FALSE
a100000060,01/01/18,House Ads,FALSE,German,German,24-30 years,01/02/18,03/08/18,House Ads,FALSE
a100000061,01/02/18,House Ads,TRUE,English,English,0-18 years,01/02/18,02/05/18,House Ads,FALSE
a100000061,01/01/18,House Ads,FALSE,English,English,0-18 years,01/02/18,02/05/18,House Ads,FALSE
a100000062,01/03/18,House Ads,TRUE,English,English,19-24 years,01/03/18,01/11/18,House Ads,FALSE
a100000062,01/01/18,House Ads,FALSE,English,English,19-24 years,01/03/18,01/11/18,House Ads,FALSE
a100000063,01/03/18,House Ads,TRUE,English,English,24-30 years,01/03/18,01/06/18,House Ads,FALSE
a100000063,01/01/18,House Ads,FALSE,English,English,24-30 years,01/03/18,01/06/18,House Ads,FALSE
a100000064,01/03/18,House Ads,TRUE,English,English,0-18 years,01/03/18,03/01/18,House Ads,FALSE
a100000064,01/01/18,Push,FALSE,English,English,0-18 years,01/03/18,03/01/18,House Ads,FALSE
a100000065,01/03/18,House Ads,TRUE,English,English,19-24 years,01/03/18,04/02/18,House Ads,FALSE
